"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Ecology","BayestraitsDependent_Ecology","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","simulation_variant","ml_model_supported","chisq_p_selectionwronglysupported_df","chisq_p_selectionwronglysupported","chisq_p_selectiontoonestatewronglysupported","selectionwronglysupportedsignificant","selectiontoonewronglysupportedsignificant","chisq_p_selectiontoonestatewronglysupported_df","BT_dependent_CladeA_better","BT_dependent_Forest_better","samplesize","horizontaltransmission","diversityrepresented","BT_MultistateFree_better","chisq_BT_MultitstateFree_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_MultitstateFree_wronglysupported","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported","X.1","BT_Multistate_nonconvergence"
"4358",4388,"Onetree",4,2,1,"cladeC",2,-2.27759094654397,-2.20432509907319,-2.93727979349995,-2.26853929057361,-2.20432509907319,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-2.51975554801397,NA,NA,TRUE,"drift_four_medium","loglik_selectiononestate",0.701872076184647,0.701872076184647,0.701872076184647,0,0,0.701872076184647,NA,NA,78,"No",0.5,NA,NA,NA,NA,NA,NA,NA,4358,NA
"4359",4389,"Onetree",4,2,1,"cladeD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,81,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4359,NA
"4360",4390,"Onetree",4,2,1,"cladeE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,48,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4360,NA
"4361",4391,"Onetree",4,2,1,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,34,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4361,NA
"4362",4392,"Onetree",4,2,1,"ThreeQuarterSample",4,-16.3254072832851,-15.7900509477696,-18.8037305372599,-16.6210234970877,-14.5989321393963,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.5770826043827,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.75021857070207,0.75021857070207,0.784148446050736,0,0,0.784148446050736,NA,NA,200,"No",1,NA,NA,NA,NA,NA,NA,NA,4362,NA
"4363",4393,"Onetree",4,2,1,"HalfSample",4,-16.321421911733,-15.7837155479533,-18.8051669091774,-16.6296158624134,-14.6066564600583,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.5718841688675,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.753320472585205,0.753320472585205,0.783012617139913,0,0,0.783012617139913,NA,NA,103,"No",1,NA,NA,NA,NA,NA,NA,NA,4363,NA
"4364",4394,"Onetree",4,2,1,"Rarelost",4,-16.5934631576728,-16.072204185135,-19.0758001665947,-16.7343752465718,-14.8068383980282,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.7263092367304,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.734200037755537,0.734200037755537,0.790965376475259,0,0,0.790965376475259,NA,NA,290,"No",1,NA,NA,NA,NA,NA,NA,NA,4364,NA
"4365",4395,"Onetree",4,2,1,"Frequentlost",4,-16.4041992975851,-15.8300189711873,-18.9841707851826,-16.7989712534852,-14.7058496760576,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.5448253452142,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.757658806726389,0.757658806726389,0.765414288005585,0,0,0.765414288005585,NA,NA,200,"No",1,NA,NA,NA,NA,NA,NA,NA,4365,NA
"4366",4396,"Onetree",4,2,1,"Ecologyloss",4,-15.8110094154102,-15.2133311925035,-18.3741539104166,-16.4691348976163,-14.1554224810473,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.2941477932393,NA,NA,FALSE,"drift_four_medium","loglik_unconstrained",0.768898754987146,0.768898754987146,0.754118241925008,0,0,0.754118241925008,NA,NA,306,"No",1,NA,NA,NA,NA,NA,NA,NA,4366,NA
"4367",4397,"Onetree",4,2,1,"horizontal10",4,-183.090241278871,-177.765790151182,-207.266594604496,-327.365575678283,-162.927952440887,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-291.324346078866,-162.927952,-183.090241,FALSE,"drift_four_medium","loglik_unconstrained",3.93272122423127e-07,3.93272122423127e-07,0.013784092301656,1,1,0.013784092301656,NA,40.324578,306,"Yes",1,40.324578,1.48535114969928e-05,NA,3.70844451813568e-08,1,NA,1,4367,FALSE
"4368",4398,"Onetree",4,2,1,"horizontalClade10",4,-186.652673889686,-151.472172919683,-137.671462136411,-192.68537613441,-121.882423732463,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-273.169412257997,-126.760933,-186.652674,FALSE,"drift_four_medium","loglik_unconstrained",0,0,3.5527136788005e-15,1,1,3.5527136788005e-15,NA,119.783482,306,"Yes",1,119.783482,0,NA,0,1,NA,1,4368,FALSE
"4369",4399,"Onetree",4,2,1,"horizontalEcology10",4,-135.078841273505,-114.581621631424,-112.491597585182,-137.351845677137,-101.891762035221,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-261.191798050154,-101.891762,-135.078841,FALSE,"drift_four_medium","loglik_unconstrained",2.25996998892697e-12,2.25996998892697e-12,6.55698484397504e-09,1,1,6.55698484397504e-09,NA,66.374158,306,"Yes",1,66.374158,2.21097917751933e-10,NA,1.32116539930394e-13,1,NA,1,4369,FALSE
"4370",4400,"Onetree",4,2,1,"horizontalNeighbor10",4,-206.145944120681,-193.630212848392,-242.07919525813,-322.282788215767,-185.465772818463,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-378.603077714998,-185.465773,-206.145944,FALSE,"drift_four_medium","loglik_unconstrained",2.45886187077993e-07,2.45886187077993e-07,1.52083755994292e-05,1,1,1.52083755994292e-05,NA,41.3603419999999,306,"Yes",1,41.3603419999999,9.74132746367484e-06,NA,2.2634898622087e-08,1,NA,1,4370,FALSE
"4371",4401,"Onetree",4,2,2,"full",4,-32.8863104021771,-32.5417003958554,-33.2393890174281,-42.7832674588394,-29.8501406994673,1.00012165303623,1.39726859269053,NA,NA,NA,NA,-37.1251992240889,-30.698584,-32.88631,NA,"drift_four_medium","loglik_unconstrained",0.415135596936495,0.415135596936495,0.875736534534215,0,0,0.875736534534215,NA,4.375452,306,"No",1,4.375452,0.928824469303198,NA,0.357572124598329,0,NA,0,4371,FALSE
