"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"134","Earlytree","3","threequarter","0.702","0.22","0.323525337367664","0.999916340863059"
"135","Earlytree","3","half","0.808","0.306","0.323525337367664","0.95414318831295"
"136","Earlytree","3","positiveloss","0.904","0.194","0.323525337367664","0.9996777128308"
"137","Earlytree","3","ecologyloss","0.668","0.29","0.323525337367664","0.999997463101693"
"138","Earlytree","3","horizontal10","0.83","0.188","0.323525337367664","0"
"139","Earlytree","3","horizontal10clade","0.936","0.158","0.323525337367664","0"
"140","Earlytree","3","horizontal10ecology","0.716","0.302","0.323525337367664","0"
"141","Earlytree","3","horizontalnodes","0.804","0.116","0.323525337367664","0.998662983263432"
"142","Earlytree","3","horizontalnodesecology","0.834","0.298","0.323525337367664","0"
"143","Earlytree","3","horizontalneighbor","0.854","0.186","0.323525337367664","0"
"144","Earlytree","4","full","0.856","0.982","0.147941823251021","0.999999999991782"
"145","Earlytree","4","threequarter","0.918","0.922","0.147941823251021","0.999999202480672"
"146","Earlytree","4","half","0.81","0.94","0.147941823251021","0.999777769820018"
"147","Earlytree","4","positiveloss","0.886","0.98","0.147941823251021","0.953621742906741"
"148","Earlytree","4","ecologyloss","0.812","0.848","0.147941823251021","0.999999973912429"
"149","Earlytree","4","horizontal10","0.824","0.986","0.147941823251021","0"
"150","Earlytree","4","horizontal10clade","0.82","0.99","0.147941823251021","0.999994893529928"
"151","Earlytree","4","horizontal10ecology","0.896","0.904","0.147941823251021","0.287186435003262"
"152","Earlytree","4","horizontalnodes","0.792","1","0.147941823251021","0.999999959110587"
"153","Earlytree","4","horizontalnodesecology","0.836","0.988","0.147941823251021","0.99999999982027"
"154","Earlytree","4","horizontalneighbor","0.902","1","0.147941823251021","0"
"155","Earlytree","5","full","0.666","0.02","0.411157112919676","0.999996633228794"
"156","Earlytree","5","threequarter","0.546","0.048","0.411157112919676","0.979183621479939"
"157","Earlytree","5","half","0.646","0.148","0.411157112919676","0"
"158","Earlytree","5","positiveloss","0.606","0.024","0.411157112919676","0.999996633228794"
"159","Earlytree","5","ecologyloss","0.576","0.048","0.411157112919676","0.996687901570187"
"160","Earlytree","5","horizontal10","0.494","0.026","0.411157112919676","0"
"161","Earlytree","5","horizontal10clade","0.57","0.024","0.411157112919676","0.999953336925153"
"162","Earlytree","5","horizontal10ecology","0.596","0.042","0.411157112919676","0"
"163","Earlytree","5","horizontalnodes","0.614","0.026","0.411157112919676","0.952272762944171"
"164","Earlytree","5","horizontalnodesecology","0.638","0.01","0.411157112919676","0.940956287648766"
"165","Earlytree","5","horizontalneighbor","0.662","0.048","0.411157112919676","0"
"166","Earlytree","6","full","0.914","0.428","0.518684158614696","0"
"167","Earlytree","6","threequarter","0.932","0.446","0.518684158614696","0"
"168","Earlytree","6","half","0.988","0.426","0.518684158614696","0"
"169","Earlytree","6","positiveloss","0.974","0.45","0.518684158614696","0"
"170","Earlytree","6","ecologyloss","0.968","0.572","0.518684158614696","0"
"171","Earlytree","6","horizontal10","0.976","0.426","0.518684158614696","0"
"172","Earlytree","6","horizontal10clade","0.86","0.31","0.518684158614696","0"
"173","Earlytree","6","horizontal10ecology","0.934","0.524","0.518684158614696","0"
"174","Earlytree","6","horizontalnodes","0.384","0.9","0.518684158614696","0"
"175","Earlytree","6","horizontalnodesecology","0.916","0.396","0.518684158614696","0"
"176","Earlytree","6","horizontalneighbor","0.886","0.534","0.518684158614696","0"
"177","Earlytree","7","full","0.406","0.166","0.307124060445123","0.999999999922188"
"178","Earlytree","7","threequarter","0.45","0.232","0.307124060445123","0.999999019736862"
"179","Earlytree","7","half","0.54","0.37","0.307124060445123","0.997228612035761"
"180","Earlytree","7","positiveloss","0.534","0.348","0.307124060445123","0.872359097939527"
"181","Earlytree","7","ecologyloss","0.63","0.324","0.307124060445123","0.999983040039081"
"182","Earlytree","7","horizontal10","0.362","0.21","0.307124060445123","0"
"183","Earlytree","7","horizontal10clade","0.424","0.174","0.307124060445123","0"
"184","Earlytree","7","horizontal10ecology","0.392","0.222","0.307124060445123","0"
