"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"124","Earlytree","2","half","0.7","0.44","0.3488770702624","0"
"125","Earlytree","2","positiveloss","0.604","0.248","0.3488770702624","0"
"126","Earlytree","2","ecologyloss","0.544","0.274","0.3488770702624","0"
"127","Earlytree","2","horizontal10","0.506","0.262","0.3488770702624","0"
"128","Earlytree","2","horizontal10clade","0.568","0.22","0.3488770702624","0"
"129","Earlytree","2","horizontal10ecology","0.474","0.232","0.3488770702624","0"
"130","Earlytree","2","horizontalnodes","0.538","0.222","0.3488770702624","0"
"131","Earlytree","2","horizontalnodesecology","0.528","0.194","0.3488770702624","0.999999998257039"
"132","Earlytree","2","horizontalneighbor","0.6","0.242","0.3488770702624","0"
"133","Earlytree","3","full","0.706","0.026","0.552627888134104","0.999999999990725"
"134","Earlytree","3","threequarter","0.74","0.052","0.552627888134104","0"
"135","Earlytree","3","half","0.708","0.118","0.552627888134104","0"
"136","Earlytree","3","positiveloss","0.988","0.044","0.552627888134104","0"
"137","Earlytree","3","ecologyloss","0.68","0.03","0.552627888134104","0"
"138","Earlytree","3","horizontal10","0.606","0.03","0.552627888134104","0"
"139","Earlytree","3","horizontal10clade","0.646","0.006","0.552627888134104","0"
"140","Earlytree","3","horizontal10ecology","0.74","0.03","0.552627888134104","0"
"141","Earlytree","3","horizontalnodes","0.692","0.042","0.552627888134104","0"
"142","Earlytree","3","horizontalnodesecology","0.7","0.028","0.552627888134104","0.999978545583885"
"143","Earlytree","3","horizontalneighbor","0.692","0.03","0.552627888134104","0"
"144","Earlytree","4","full","0.552","0.024","0.729080179705123","0.999999999999961"
"145","Earlytree","4","threequarter","0.538","0.064","0.729080179705123","0"
"146","Earlytree","4","half","0.766","0.088","0.729080179705123","0"
"147","Earlytree","4","positiveloss","0.58","0.04","0.729080179705123","0"
"148","Earlytree","4","ecologyloss","0.544","0.038","0.729080179705123","0"
"149","Earlytree","4","horizontal10","0.812","0.032","0.729080179705123","0"
"150","Earlytree","4","horizontal10clade","0.536","0.018","0.729080179705123","0"
"151","Earlytree","4","horizontal10ecology","0.654","0.024","0.729080179705123","0"
"152","Earlytree","4","horizontalnodes","0.726","0.036","0.729080179705123","0.999624317703675"
"153","Earlytree","4","horizontalnodesecology","0.592","0.042","0.729080179705123","0.999959871059299"
"154","Earlytree","4","horizontalneighbor","0.614","0.05","0.729080179705123","0"
"155","Earlytree","5","full","0.872","0.112","0.479963401836477","0.999999999999822"
"156","Earlytree","5","threequarter","0.79","0.148","0.479963401836477","0"
"157","Earlytree","5","half","0.984","0.134","0.479963401836477","0"
"158","Earlytree","5","positiveloss","0.912","0.242","0.479963401836477","0"
"159","Earlytree","5","ecologyloss","0.864","0.15","0.479963401836477","0"
"160","Earlytree","5","horizontal10","0.724","0.126","0.479963401836477","0"
"161","Earlytree","5","horizontal10clade","0.856","0.106","0.479963401836477","0"
"162","Earlytree","5","horizontal10ecology","0.728","0.156","0.479963401836477","0"
"163","Earlytree","5","horizontalnodes","0.88","0.11","0.479963401836477","0.999999999999782"
"164","Earlytree","5","horizontalnodesecology","0.596","0.278","0.479963401836477","0"
"165","Earlytree","5","horizontalneighbor","0.812","0.15","0.479963401836477","0"
"166","Earlytree","6","full","0.0760000000000001","0.01","1.25433516030427","0.999999999995663"
"167","Earlytree","6","threequarter","0.0980000000000001","0.052","1.25433516030427","0"
"168","Earlytree","6","half","0.0680000000000001","0.016","1.25433516030427","0"
"169","Earlytree","6","positiveloss","0.0880000000000001","0.00800000000000001","1.25433516030427","0"
"170","Earlytree","6","ecologyloss","0.14","0.00800000000000001","1.25433516030427","0"
"171","Earlytree","6","horizontal10","0.0780000000000001","0.004","1.25433516030427","0"
"172","Earlytree","6","horizontal10clade","0.102","0.002","1.25433516030427","0"
"173","Earlytree","6","horizontal10ecology","0.0700000000000001","0.002","1.25433516030427","0"
"174","Earlytree","6","horizontalnodes","0.522","0.252","1.25433516030427","0"
"175","Earlytree","6","horizontalnodesecology","0.046","0.004","1.25433516030427","0.99860827474402"
"176","Earlytree","6","horizontalneighbor","0.192","0.034","1.25433516030427","0"
"177","Earlytree","7","full","0.85","0.516","0.220005226472611","0.999999999999998"
"178","Earlytree","7","threequarter","0.802","0.574","0.220005226472611","0"
"179","Earlytree","7","half","0.88","0.71","0.220005226472611","0"
"180","Earlytree","7","positiveloss","0.822","0.716","0.220005226472611","0"
"181","Earlytree","7","ecologyloss","0.94","0.592","0.220005226472611","0"
"182","Earlytree","7","horizontal10","0.776","0.566","0.220005226472611","0"
"183","Earlytree","7","horizontal10clade","0.792","0.546","0.220005226472611","0"
"184","Earlytree","7","horizontal10ecology","0.866","0.556","0.220005226472611","0"
"185","Earlytree","7","horizontalnodes","0.972","0.672","0.220005226472611","0"
"186","Earlytree","7","horizontalnodesecology","0.922","0.704","0.220005226472611","0"
"187","Earlytree","7","horizontalneighbor","0.976","0.582","0.220005226472611","0"
"188","Earlytree","8","full","0.832","0.282","0.417273661552462","0.999999999999961"
"189","Earlytree","8","threequarter","0.982","0.356","0.417273661552462","0"
"190","Earlytree","8","half","0.896","0.486","0.417273661552462","0"
"191","Earlytree","8","positiveloss","0.842","0.26","0.417273661552462","0"
"192","Earlytree","8","ecologyloss","0.996","0.542","0.417273661552462","0"
"193","Earlytree","8","horizontal10","0.806","0.39","0.417273661552462","0"
"194","Earlytree","8","horizontal10clade","0.808","0.252","0.417273661552462","0"
"195","Earlytree","8","horizontal10ecology","0.928","0.322","0.417273661552462","0"
"196","Earlytree","8","horizontalnodes","0.85","0.284","0.417273661552462","0"
"197","Earlytree","8","horizontalnodesecology","0.872","0.316","0.417273661552462","0.998879305143921"
"198","Earlytree","8","horizontalneighbor","0.994","0.422","0.417273661552462","0"
"199","Earlytree","9","full","0.382","0.00800000000000001","0.663666065600188","0.999999999999998"
"200","Earlytree","9","threequarter","0.498","0.026","0.663666065600188","0"
"201","Earlytree","9","half","0.364","0.0960000000000001","0.663666065600188","0"
"202","Earlytree","9","positiveloss","0.362","0.01","0.663666065600188","0"
"203","Earlytree","9","ecologyloss","0.6","0.018","0.663666065600188","0"
"204","Earlytree","9","horizontal10","0.442","0.018","0.663666065600188","0"
"205","Earlytree","9","horizontal10clade","0.454","0.00600000000000001","0.663666065600188","0"
"206","Earlytree","9","horizontal10ecology","0.458","0.014","0.663666065600188","0"
"207","Earlytree","9","horizontalnodes","0.404","0.004","0.663666065600188","0.999999999999922"
"208","Earlytree","9","horizontalnodesecology","0.45","0.01","0.663666065600188","0"
"209","Earlytree","9","horizontalneighbor","0.434","0.044","0.663666065600188","0"
"210","Earlytree","10","full","0.154","0.004","0.782583726817727","0.999999999999348"
"211","Earlytree","10","threequarter","0.188","0.008","0.782583726817727","0"
