"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"109","Grafentree","10","horizontalnodesecology","0.176","0.182","0.756351417066343"
"110","Grafentree","10","horizontalneighbor","0.218","0.29","0.756351417066343"
"111","Earlytree","1","full","0.248","0.56","0.627001958516597"
"112","Earlytree","1","threequarter","0.376","0.688","0.627001958516597"
"113","Earlytree","1","half","0.49","0.786","0.627001958516597"
"114","Earlytree","1","positiveloss","0.262","0.612","0.627001958516597"
"115","Earlytree","1","ecologyloss","0.388","0.796","0.627001958516597"
"116","Earlytree","1","horizontal10","0.3","0.752","0.627001958516597"
"117","Earlytree","1","horizontal10clade","0.29","0.626","0.627001958516597"
"118","Earlytree","1","horizontal10ecology","0.244","0.596","0.627001958516597"
"119","Earlytree","1","horizontalnodes","0.214","0.638","0.627001958516597"
"120","Earlytree","1","horizontalnodesecology","0.258","0.654","0.627001958516597"
"121","Earlytree","1","horizontalneighbor","0.216","0.686","0.627001958516597"
"122","Earlytree","2","full","0.454","0.42","0.878651596074566"
"123","Earlytree","2","threequarter","0.536","0.528","0.878651596074566"
"124","Earlytree","2","half","0.564","0.512","0.878651596074566"
"125","Earlytree","2","positiveloss","0.396","0.29","0.878651596074566"
"126","Earlytree","2","ecologyloss","0.438","0.284","0.878651596074566"
"127","Earlytree","2","horizontal10","0.472","0.47","0.878651596074566"
"128","Earlytree","2","horizontal10clade","0.336","0.29","0.878651596074566"
"129","Earlytree","2","horizontal10ecology","0.43","0.422","0.878651596074566"
"130","Earlytree","2","horizontalnodes","0.442","0.36","0.878651596074566"
"131","Earlytree","2","horizontalnodesecology","0.406","0.408","0.878651596074566"
"132","Earlytree","2","horizontalneighbor","0.396","0.434","0.878651596074566"
"133","Earlytree","3","full","0.578","0.726","0.887598566407078"
"134","Earlytree","3","threequarter","0.644","0.888","0.887598566407078"
"135","Earlytree","3","half","0.402","0.622","0.887598566407078"
"136","Earlytree","3","positiveloss","0.524","0.746","0.887598566407078"
"137","Earlytree","3","ecologyloss","0.788","0.576","0.887598566407078"
"138","Earlytree","3","horizontal10","0.596","0.874","0.887598566407078"
"139","Earlytree","3","horizontal10clade","0.594","0.714","0.887598566407078"
"140","Earlytree","3","horizontal10ecology","0.482","0.796","0.887598566407078"
