"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"108","PamaNyungantree","10","horizontalnodes","0.001","0.004","4104.43219010657"
"109","PamaNyungantree","10","horizontalnodesecology","0.001","0.028","4104.43219010657"
"110","PamaNyungantree","10","horizontalneighbor","0.036","0.066","4104.43219010657"
"111","Grafentree","1","full","0.644","0.746","0.171291186741885"
"112","Grafentree","1","threequarter","0.838","0.876","0.171291186741885"
"113","Grafentree","1","half","0.762","0.816","0.171291186741885"
"114","Grafentree","1","positiveloss","0.638","0.798","0.171291186741885"
"115","Grafentree","1","ecologyloss",NA,"0.82","0.171291186741885"
"116","Grafentree","1","horizontal10","0.73","0.806","0.171291186741885"
"117","Grafentree","1","horizontal10clade","0.606","0.73","0.171291186741885"
"118","Grafentree","1","horizontal10ecology","0.61","0.718","0.171291186741885"
"119","Grafentree","1","horizontalnodes","0.642","0.78","0.171291186741885"
"120","Grafentree","1","horizontalnodesecology","0.634","0.782","0.171291186741885"
"121","Grafentree","1","horizontalneighbor","0.63","0.834","0.171291186741885"
"122","Grafentree","2","full","0.12","0.001","1.61847768211219"
"123","Grafentree","2","threequarter","0.426","0.002","1.61847768211219"
"124","Grafentree","2","half","0.39","0.001","1.61847768211219"
"125","Grafentree","2","positiveloss","0.138","0.001","1.61847768211219"
"126","Grafentree","2","ecologyloss",NA,"0.001","1.61847768211219"
"127","Grafentree","2","horizontal10","0.23","0.001","1.61847768211219"
"128","Grafentree","2","horizontal10clade","0.0840000000000001","0.001","1.61847768211219"
"129","Grafentree","2","horizontal10ecology","0.158","0.001","1.61847768211219"
"130","Grafentree","2","horizontalnodes","0.114","0.001","1.61847768211219"
"131","Grafentree","2","horizontalnodesecology","0.134","0.001","1.61847768211219"
"132","Grafentree","2","horizontalneighbor","0.212","0.001","1.61847768211219"
"133","Grafentree","3","full","0.036","0.001","0.682326250852138"
"134","Grafentree","3","threequarter","0.152","0.01","0.682326250852138"
"135","Grafentree","3","half","0.186","0.014","0.682326250852138"
"136","Grafentree","3","positiveloss","0.028","0.001","0.682326250852138"
"137","Grafentree","3","ecologyloss",NA,"0.052","0.682326250852138"
"138","Grafentree","3","horizontal10","0.05","0.001","0.682326250852138"
"139","Grafentree","3","horizontal10clade","0.044","0.002","0.682326250852138"
"140","Grafentree","3","horizontal10ecology","0.052","0.001","0.682326250852138"
"141","Grafentree","3","horizontalnodes","0.034","0.001","0.682326250852138"
"142","Grafentree","3","horizontalnodesecology","0.034","0.001","0.682326250852138"
"143","Grafentree","3","horizontalneighbor","0.048","0.001","0.682326250852138"
"144","Grafentree","4","full","0.334","0.001","0.702886281801273"
"145","Grafentree","4","threequarter","0.568","0.012","0.702886281801273"
"146","Grafentree","4","half","0.494","0.004","0.702886281801273"
"147","Grafentree","4","positiveloss","0.346","0.001","0.702886281801273"
"148","Grafentree","4","ecologyloss",NA,"0.008","0.702886281801273"
"149","Grafentree","4","horizontal10","0.468","0.001","0.702886281801273"
"150","Grafentree","4","horizontal10clade","0.36","0.001","0.702886281801273"
"151","Grafentree","4","horizontal10ecology","0.448","0.002","0.702886281801273"
"152","Grafentree","4","horizontalnodes","0.488","0.001","0.702886281801273"
"153","Grafentree","4","horizontalnodesecology","0.368","0.001","0.702886281801273"
"154","Grafentree","4","horizontalneighbor","0.416","0.001","0.702886281801273"
"155","Grafentree","5","full","0.001","0.001","2.26010137460954"
"156","Grafentree","5","threequarter","0.028","0.001","2.26010137460954"
"157","Grafentree","5","half","0.00800000000000001","0.001","2.26010137460954"
"158","Grafentree","5","positiveloss","0.001","0.001","2.26010137460954"
"159","Grafentree","5","ecologyloss",NA,"0.001","2.26010137460954"
"160","Grafentree","5","horizontal10","0.001","0.001","2.26010137460954"
"161","Grafentree","5","horizontal10clade","0.001","0.001","2.26010137460954"
"162","Grafentree","5","horizontal10ecology","0.001","0.001","2.26010137460954"
"163","Grafentree","5","horizontalnodes","0.001","0.001","2.26010137460954"
"164","Grafentree","5","horizontalnodesecology","0.001","0.001","2.26010137460954"
"165","Grafentree","5","horizontalneighbor","0.002","0.001","2.26010137460954"
"166","Grafentree","6","full","0.136","0.256","0.682487188868835"
"167","Grafentree","6","threequarter","0.45","0.394","0.682487188868835"
"168","Grafentree","6","half","0.478","0.462","0.682487188868835"
"169","Grafentree","6","positiveloss","0.168","0.224","0.682487188868835"
"170","Grafentree","6","ecologyloss",NA,"0.444","0.682487188868835"
"171","Grafentree","6","horizontal10","0.21","0.304","0.682487188868835"
"172","Grafentree","6","horizontal10clade","0.158","0.232","0.682487188868835"
"173","Grafentree","6","horizontal10ecology","0.15","0.31","0.682487188868835"
"174","Grafentree","6","horizontalnodes","0.154","0.256","0.682487188868835"
"175","Grafentree","6","horizontalnodesecology","0.134","0.228","0.682487188868835"
"176","Grafentree","6","horizontalneighbor","0.146","0.438","0.682487188868835"
"177","Grafentree","7","full","0.63","0.028","0.454257215397753"
"178","Grafentree","7","threequarter","0.82","0.196","0.454257215397753"
"179","Grafentree","7","half","0.706","0.128","0.454257215397753"
"180","Grafentree","7","positiveloss","0.612","0.042","0.454257215397753"
"181","Grafentree","7","ecologyloss",NA,"0.144","0.454257215397753"
"182","Grafentree","7","horizontal10","0.712","0.04","0.454257215397753"
"183","Grafentree","7","horizontal10clade","0.6","0.02","0.454257215397753"
"184","Grafentree","7","horizontal10ecology","0.596","0.042","0.454257215397753"
"185","Grafentree","7","horizontalnodes","0.644","0.036","0.454257215397753"
"186","Grafentree","7","horizontalnodesecology","0.536","0.036","0.454257215397753"
"187","Grafentree","7","horizontalneighbor","0.648","0.054","0.454257215397753"
"188","Grafentree","8","full","0.278","0.936","1.13398527301837"
"189","Grafentree","8","threequarter","0.334","0.95","1.13398527301837"
"190","Grafentree","8","half","0.594","0.994","1.13398527301837"
"191","Grafentree","8","positiveloss","0.226","0.87","1.13398527301837"
"192","Grafentree","8","ecologyloss",NA,"0.814","1.13398527301837"
"193","Grafentree","8","horizontal10","0.198","0.988","1.13398527301837"
"194","Grafentree","8","horizontal10clade","0.236","0.91","1.13398527301837"
"195","Grafentree","8","horizontal10ecology","0.258","0.978","1.13398527301837"
"196","Grafentree","8","horizontalnodes","0.26","0.934","1.13398527301837"
"197","Grafentree","8","horizontalnodesecology","0.154","0.824","1.13398527301837"
"198","Grafentree","8","horizontalneighbor","0.41","0.776","1.13398527301837"
"199","Grafentree","9","full","0.912","0.694","0.227226851829521"
"200","Grafentree","9","threequarter","0.846","0.642","0.227226851829521"
"201","Grafentree","9","half","0.894","0.69","0.227226851829521"
"202","Grafentree","9","positiveloss","0.87","0.684","0.227226851829521"
"203","Grafentree","9","ecologyloss",NA,"0.716","0.227226851829521"
"204","Grafentree","9","horizontal10","0.874","0.72","0.227226851829521"
"205","Grafentree","9","horizontal10clade","0.894","0.634","0.227226851829521"
"206","Grafentree","9","horizontal10ecology","0.852","0.642","0.227226851829521"
"207","Grafentree","9","horizontalnodes","0.922","0.626","0.227226851829521"
"208","Grafentree","9","horizontalnodesecology","0.924","0.694","0.227226851829521"
"209","Grafentree","9","horizontalneighbor","0.846","0.694","0.227226851829521"
"210","Grafentree","10","full","0.4","0.106","0.262758830118836"
"211","Grafentree","10","threequarter","0.63","0.308","0.262758830118836"
"212","Grafentree","10","half","0.532","0.238","0.262758830118836"
"213","Grafentree","10","positiveloss","0.432","0.14","0.262758830118836"
"214","Grafentree","10","ecologyloss",NA,"0.424","0.262758830118836"
"215","Grafentree","10","horizontal10","0.51","0.244","0.262758830118836"
"216","Grafentree","10","horizontal10clade","0.418","0.096","0.262758830118836"
"217","Grafentree","10","horizontal10ecology","0.432","0.156","0.262758830118836"
"218","Grafentree","10","horizontalnodes","0.4","0.12","0.262758830118836"
"219","Grafentree","10","horizontalnodesecology","0.424","0.13","0.262758830118836"
