"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"957",957,"Earlytree",2,2,6,"horizontal10",2,NA,NA,NA,NA,NA,0.679835884763724,1.1037680500001,-109.840525,-89.10749,-195.287588,-173.311147,NA,NA,NA,NA,NA,957,41.46607,43.952882,2.15217551557956e-08,6.56199206083841e-09,1,1
"958",958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,NA,NA,NA,NA,NA,NA
"959",959,"Earlytree",2,2,6,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.753949393583165,0.943058407560057,-63.814851,-32.149027,-150.126958,-111.562156,NA,NA,NA,NA,NA,959,63.331648,77.129604,5.77871084317394e-13,6.66133814775094e-16,1,1
"960",960,"Earlytree",2,2,6,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,1.17918155148266,2.5867064167351,-91.674977,NA,NA,-202.81461,NA,NA,NA,NA,NA,960,NA,NA,NA,NA,NA,NA
"961",961,"Earlytree",2,2,7,"full",2,NA,NA,NA,NA,NA,1.38218726293016,17.6712979849715,-101.77064,NA,-124.739007,-95.769389,NA,NA,NA,NA,"Q_onlyandslowInEcology1",961,NA,57.939236,NA,7.85838061290178e-12,NA,1
"962",962,"Earlytree",2,2,7,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.38218726293016,17.6712979849715,-75.905805,NA,-78.609876,-76.0972,NA,NA,NA,NA,NA,962,NA,5.025352,NA,0.284706099724201,NA,0
"963",963,"Earlytree",2,2,7,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,9.6983323858315,-12.020625,-9.233903,-47.04736,-44.492945,NA,NA,NA,NA,NA,963,5.573444,5.10883,0.233348726794653,0.276312030310008,0,0
"964",964,"Earlytree",2,2,7,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,10.8182976932064,-62.696995,NA,-139.183988,NA,NA,NA,NA,NA,NA,964,NA,NA,NA,NA,NA,NA
"965",965,"Earlytree",2,2,7,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,15.3860335944771,-79.116591,NA,-80.67079,-58.043198,NA,NA,NA,NA,NA,965,NA,45.255184,NA,3.51869089421086e-09,NA,1
"966",966,"Earlytree",2,2,7,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,15.6515819070708,-93.787055,NA,-88.310671,-74.330594,NA,NA,NA,NA,NA,966,NA,27.960154,NA,1.27070210110825e-05,NA,1
