"","Tree","Repetition","Sample","pvalue_ecology","pvalue_alternative","pvalue_clade","variance_trait","median_Ecology1","median_Ecology2","median_Alternative1","median_Alternative2","median_CladeA","median_OtherClades","predictor_variable"
"248","Latetree","3","horizontal10","0.384","0.192","0.001","1.35360331042663","-1.75315757918674","-2.83927836182511","-1.15425983026122","-2.81927646601449","-0.326732093570751","-2.9057056892101","simmapattemptCladeA"
"249","Latetree","3","horizontal10clade","0.19","0.192","0.001","1.35360331042663","-1.70430894607265","-2.83639350491119","-0.32295822114875","-2.82615663646342","-0.313980517814884","-2.90359992325942","simmapattemptCladeA"
"250","Latetree","3","horizontal10ecology","0.206","0.192","0.001","1.35360331042663","-1.70430894607265","-2.83258439621692","-0.32295822114875","-2.81927646601449","-0.312169425859922","-2.90480744635838","simmapattemptCladeA"
"251","Latetree","3","horizontalnodes","0.16","0.192","0.001","1.35360331042663","-1.73226150094791","-2.83927836182511","-0.32295822114875","-2.83292645752588","-0.318535842017745","-2.9057056892101","simmapattemptCladeA"
"252","Latetree","3","horizontalnodesecology","0.206","0.192","0.001","1.35360331042663","-1.70430894607265","-2.83639350491119","-0.32295822114875","-2.82912893270284","-0.313980517814884","-2.8999488867212","simmapattemptCladeA"
"253","Latetree","3","horizontalneighbor","0.208","0.192","0.001","1.35360331042663","-1.75315757918674","-2.8134876440833","-0.331815229515694","-2.80673525913192","-0.331815229515694","-2.88725123016517","simmapattemptCladeA"
"254","Latetree","4","full","0.022","0.1","0.001","1.87774323180276","-1.25027890023155","-2.97329483468278","-0.109576500128736","-2.96267280483298","-0.0524772009239249","-3.08719021819177","simmapattemptCladeA"
"255","Latetree","4","quarterloss","0.094","0.1","0.001","1.87774323180276","-1.2736727397133","-2.96587898873529","-0.068846558635272","-2.96587898873529","-0.0644304242619322","-3.09786072324242","simmapattemptCladeA"
"256","Latetree","4","halfloss","0.202","0.1","0.001","1.87774323180276","-0.121983860572845","-2.97475795377242","-0.0971691396846265","-2.97329483468278","-0.0405239775859175","-3.1092293422064","simmapattemptCladeA"
"257","Latetree","4","positiveloss","0.09","0.1","0.001","1.87774323180276","-1.25027890023155","-2.97329483468278","-0.109576500128736","-2.96267280483298","-0.0524772009239249","-3.08719021819177","simmapattemptCladeA"
"258","Latetree","4","ecologyloss","0.144","0.1","0.001","1.87774323180276","-1.25027890023155","-2.96267280483298","-0.068846558635272","-2.9495635793587","0.0135943815970129","-3.08570410270767","simmapattemptCladeA"
"259","Latetree","4","horizontal10","0.224","0.1","0.001","1.87774323180276","-1.30893655645395","-2.96587898873529","-0.125449344072645","-2.95609537558691","-0.0957980551148639","-3.07750648612184","simmapattemptCladeA"
"260","Latetree","4","horizontal10clade","0.108","0.1","0.001","1.87774323180276","-1.25027890023155","-3.00005623145376","-0.109576500128736","-2.9740263942276","-0.0524772009239249","-3.09786072324242","simmapattemptCladeA"
"261","Latetree","4","horizontal10ecology","0.118","0.1","0.001","1.87774323180276","-1.25027890023155","-2.96587898873529","-0.109576500128736","-2.95812079425846","-0.0753405087803388","-3.07426289710915","simmapattemptCladeA"
"262","Latetree","4","horizontalnodes","0.102","0.1","0.001","1.87774323180276","-1.25027890023155","-2.97329483468278","-0.109576500128736","-2.96267280483298","-0.0860730617818972","-3.08719021819177","simmapattemptCladeA"
"263","Latetree","4","horizontalnodesecology","0.112","0.1","0.001","1.87774323180276","-1.25027890023155","-2.97329483468278","-0.109576500128736","-2.96267280483298","-0.0524772009239249","-3.08258150565308","simmapattemptCladeA"
"264","Latetree","4","horizontalneighbor","0.232","0.1","0.001","1.87774323180276","-1.37590764855851","-2.95946662093066","-0.125449344072645","-2.95474954891471","-0.0903387819219234","-3.05010669177306","simmapattemptCladeA"
"265","Latetree","5","full","0.016","0.032","0.001","3.88566552632141","-0.183902511060189","-3.08441991097813","0.677924052337021","-3.0390575247952","0.687581077735413","-3.58231362083621","simmapattemptCladeA"
"266","Latetree","5","quarterloss","0.39","0.032","0.001","3.88566552632141","-0.163107307878995","-3.04287866581018","-0.183902511060189","-2.96350000147378","0.671656752425027","-3.70689069618435","simmapattemptCladeA"
"267","Latetree","5","halfloss","0.17","0.032","0.001","3.88566552632141","-2.99135349549312","-3.07403867162958","0.542158049728449","-3.08441991097813","0.636212108660901","-3.59113565203844","simmapattemptCladeA"
"268","Latetree","5","positiveloss","0.026","0.032","0.001","3.88566552632141","-0.183902511060189","-3.08441991097813","0.677924052337021","-3.0390575247952","0.687581077735413","-3.58231362083621","simmapattemptCladeA"
"269","Latetree","5","ecologyloss","0.032","0.032","0.001","3.88566552632141","-0.183902511060189","-3.0540965902776","0.719635996013142","-3.03512331558064","0.71436576108506","-3.7389351985901","simmapattemptCladeA"
"270","Latetree","5","horizontal10","0.038","0.032","0.001","3.88566552632141","-0.197717894847847","-3.1054026469537","0.677924052337021","-3.0532680490456","0.653934430542964","-3.53324457841612","simmapattemptCladeA"
"271","Latetree","5","horizontal10clade","0.018","0.032","0.001","3.88566552632141","-0.183902511060189","-3.17194847668544","0.677924052337021","-3.09006866280188","0.687581077735413","-3.68661665236925","simmapattemptCladeA"
"272","Latetree","5","horizontal10ecology","0.026","0.032","0.001","3.88566552632141","-0.183902511060189","-3.08441991097813","0.677924052337021","-3.0532680490456","0.687581077735413","-3.55171107758164","simmapattemptCladeA"
"273","Latetree","5","horizontalnodes","0.014","0.032","0.001","3.88566552632141","-0.306620676537387","-3.08441991097813","0.677924052337021","-3.07403867162958","0.677798385606457","-3.58231362083621","simmapattemptCladeA"
"274","Latetree","5","horizontalnodesecology","0.044","0.032","0.001","3.88566552632141","-0.183902511060189","-3.04453574827418","0.677924052337021","-3.01476874159574","0.687581077735413","-3.58231362083621","simmapattemptCladeA"
"275","Latetree","5","horizontalneighbor","0.032","0.032","0.001","3.88566552632141","-0.197717894847847","-3.09006866280188","0.589185079194675","-3.03512331558064","0.605743771606035","-3.52116286435469","simmapattemptCladeA"
"276","Latetree","6","full","0.028","0.076","0.001","2.21444793485873","-1.00710859483265","-3.11014228687085","-0.0336587128899639","-2.99899882829712","-0.0182818841005331","-3.21158704632613","simmapattemptCladeA"
"277","Latetree","6","quarterloss","0.1","0.076","0.001","2.21444793485873","-0.0901001292227119","-3.11390118770022","0.0324613369028419","-2.97065546371556","0.0276910752991927","-3.2502312218462","simmapattemptCladeA"
"278","Latetree","6","halfloss","0.32","0.076","0.001","2.21444793485873","-0.122865506144766","-3.11236767919985","-0.169620986790732","-2.96970944649235","-0.017083362094004","-3.21158704632613","simmapattemptCladeA"
"279","Latetree","6","positiveloss","0.068","0.076","0.001","2.21444793485873","-1.00710859483265","-3.11014228687085","-0.0336587128899639","-2.99899882829712","-0.0182818841005331","-3.21158704632613","simmapattemptCladeA"
"280","Latetree","6","ecologyloss","0.066","0.076","0.001","2.21444793485873","-1.00710859483265","-3.10668999342573","0.0295693654182007","-2.97160148093878","-0.00328494783098718","-3.1868122232991","simmapattemptCladeA"
"281","Latetree","6","horizontal10","0.108","0.076","0.001","2.21444793485873","-1.04557987553394","-3.11766008852959","-0.0336587128899639","-3.01235528953097","-0.0623144281410289","-3.19775110964174","simmapattemptCladeA"
"282","Latetree","6","horizontal10clade","0.074","0.076","0.001","2.21444793485873","-1.00710859483265","-3.10576221920577","-0.0336587128899639","-3.01235528953097","-0.0182818841005331","-3.22570232634217","simmapattemptCladeA"
"283","Latetree","6","horizontal10ecology","0.06","0.076","0.001","2.21444793485873","-1.00710859483265","-3.11804536497396","-0.0336587128899639","-2.99899882829712","-0.0353184811558326","-3.18434824070744","simmapattemptCladeA"
"284","Latetree","6","horizontalnodes","0.116","0.076","0.001","2.21444793485873","-1.04557987553394","-3.11014228687085","-0.109069908786995","-2.99899882829712","-0.0539055772675366","-3.21158704632613","simmapattemptCladeA"
"285","Latetree","6","horizontalnodesecology","0.044","0.076","0.001","2.21444793485873","-1.00710859483265","-3.11014228687085","-0.0336587128899639","-2.99899882829712","-0.0182818841005331","-3.18434824070744","simmapattemptCladeA"
"286","Latetree","6","horizontalneighbor","0.14","0.076","0.001","2.21444793485873","-1.04903288450651","-3.11014228687085","-0.0336587128899639","-2.97703297902906","-0.0204583632625384","-3.18533885366009","simmapattemptCladeA"
"287","Latetree","7","full","0.058","0.148","0.001","1.80147329918349","-0.412414325000939","-2.8601634254294","-0.295329676915198","-2.77469605865458","-0.303599783117469","-2.9499576304181","simmapattemptCladeA"
"288","Latetree","7","quarterloss","0.396","0.148","0.001","1.80147329918349","-0.41616080092147","-2.85448724341726","-0.295329676915198","-2.768789284507","-0.293595851605739","-2.90271470592284","simmapattemptCladeA"
"289","Latetree","7","halfloss","0.484","0.148","0.001","1.80147329918349","-0.412414325000939","-2.85448724341726","-0.447044217937213","-2.80031321183304","-0.309122813003243","-2.95012947614611","simmapattemptCladeA"
"290","Latetree","7","positiveloss","0.14","0.148","0.001","1.80147329918349","-0.412414325000939","-2.8601634254294","-0.295329676915198","-2.77469605865458","-0.303599783117469","-2.9499576304181","simmapattemptCladeA"
"291","Latetree","7","ecologyloss","0.156","0.148","0.001","1.80147329918349","-0.412414325000939","-2.86106297698526","-0.244743540847481","-2.6790664115797","-0.255896566078326","-3.02179923741221","simmapattemptCladeA"
"292","Latetree","7","horizontal10","0.126","0.148","0.001","1.80147329918349","-0.419907276842","-2.8601634254294","-0.295329676915198","-2.77469605865458","-0.303599783117469","-2.94259086837923","simmapattemptCladeA"
"293","Latetree","7","horizontal10clade","0.124","0.148","0.001","1.80147329918349","-0.412414325000939","-2.85675023310238","-0.295329676915198","-2.77469605865458","-0.303599783117469","-2.900519350478","simmapattemptCladeA"
"294","Latetree","7","horizontal10ecology","0.164","0.148","0.001","1.80147329918349","-0.412414325000939","-2.84508922887419","-0.295329676915198","-2.77469605865458","-0.313395276581875","-2.91668812782275","simmapattemptCladeA"
"295","Latetree","7","horizontalnodes","0.16","0.148","0.001","1.80147329918349","-0.412414325000939","-2.8601634254294","-0.295329676915198","-2.76007436941207","-0.303599783117469","-2.9188834832676","simmapattemptCladeA"
"296","Latetree","7","horizontalnodesecology","0.14","0.148","0.001","1.80147329918349","-0.403932228002274","-2.8601634254294","-0.295329676915198","-2.77469605865458","-0.303599783117469","-2.9499576304181","simmapattemptCladeA"
"297","Latetree","7","horizontalneighbor","0.158","0.148","0.001","1.80147329918349","-0.449815445934113","-2.8601634254294","-0.301854804271499","-2.80073757146929","-0.322032465411863","-2.96361615896117","simmapattemptCladeA"
"298","Latetree","8","full","0.001","0.014","0.001","3.76284550664582","-1.41876953530467","-3.50656728241182","0.885835524895419","-3.3157754785323","0.956250846516812","-3.55333829493119","simmapattemptCladeA"
"299","Latetree","8","quarterloss","0.038","0.014","0.001","3.76284550664582","-1.39803846553275","-3.40280041492818","0.931407238830367","-3.21854639057733","0.949325337304119","-3.54884955665225","simmapattemptCladeA"
"300","Latetree","8","halfloss","0.202","0.014","0.001","3.76284550664582","-1.30304756998002","-3.49044787252711","0.887088006403661","-3.2127469046183","0.974196625030726","-3.56258149867911","simmapattemptCladeA"
"301","Latetree","8","positiveloss","0.02","0.014","0.001","3.76284550664582","-1.41876953530467","-3.50656728241182","0.885835524895419","-3.3157754785323","0.956250846516812","-3.55333829493119","simmapattemptCladeA"
